LOCODE,LAT,LON
IDBMU,-8.4166,118.7166
IDBNT,4.167,106.233
IDBTN,-6.4058172,106.0640179
IDBXT,0.1,117.4833
IDCER,-8.817,116.817
IDDJB,-1.6,103.616667
IDDUM,1.6833,101.45
IDELA,-5.65,133.117
IDENO,-0.533,103.4
IDEXS,-1.8,105.133
IDFKQ,-2.9333,132.3166
IDFTG,0.817,102.4
IDGEE,0.833,128.317
IDGTO,0.6999372,122.4467238
IDJBK,-6.25,107.15
IDJBT,-0.883,104.067
IDJOR,-4.183,115.1
IDKDI,-3.9984597,122.5129742
IDKGH,5.25,97.033
IDKHY,-8.483,116.667
IDKID,0.8533655,104.5946633
IDKNL,-1.967,121.333
IDKNT,5.017,105.95
IDKOE,-10.1771997,123.6070329
IDKOK,-2.7,132.433
IDKOL,-4.05,121.567
IDKPL,-0.9,103.8
IDKRG,-1.167,116.783
IDLKI,-3.3,128.05
IDLOM,-8.5,116.667
IDLUW,-0.938828,122.792801
IDMAI,0.883,134.317
IDMAR,-2.983,114.767
IDMBK,0.4,103.783
IDMES,3.5951956,98.6722227
IDMIT,-1.567,130.517
IDMKQ,-8.4991117,140.4049814
IDMKW,-0.8614531,134.0620421
IDMOF,-8.6245515,122.2146964
IDMOR,0.783,128.217
IDMOW,-1.867,121.5
IDMRK,-5.9349331,106.0064628
IDMSB,-1.583,99.2
IDMSK,-0.8,103.917
IDMUW,-0.9349425,114.8985047
IDNPL,-3.217,116.267
IDNTA,1.15,103.6
IDPGA,-6.917,115.917
IDPGM,-0.8,122.617
IDPIR,-3.067,128.183
IDPJK,3.96667,100.08333
IDPLM,-2.9760735,104.7754307
IDPMK,-4.8,136.767
IDPNG,-0.3269444,104.4677778
IDPNJ,-5.4641159,105.3218997
IDPNK,-0.0263303,109.3425039
IDPOT,-8.517,116.833
IDPTL,-0.673877,119.8641634
IDREO,-8.317,120.5
IDSBM,1.117,128.167
IDSDJ,-7.4497718,112.7015495
IDSEP,-7.183,115.783
IDSGU,0.117,110.6
IDSLG,1.7368371,98.7851121
IDSMQ,-2.5394654,112.9586863
IDSOQ,-0.8761629,131.255828
IDSRI,-0.5016166,117.1264753
IDSUA,2.05,117.7
IDSUK,-6.9277361,106.9299579
IDSUM,-7.05,113.95
IDSUN,-8.867,116.55
IDSWT,-1.35,131.0
IDTAB,-3.683,114.417
IDTAR,-3.267,116.083
IDTBO,1.7145909,127.9678652
IDTBU,0.833,128.25
IDTER,3.217,106.217
IDTES,-6.96667,110.48333
IDTJP,-7.2,112.71667
IDTLI,0.8768231,120.7579834
IDTME,0.033,117.517
IDTMK,-4.75,136.55
IDTPN,-3.183,116.267
IDTPP,-6.1,106.88333
IDTRK,3.3273599,117.5785049
IDTTE,0.7957999,127.3613533
IDTUA,-5.633,132.733
